Name,Platform,Genre,Release,Publisher,NA_Sales,JP_Sales,Critic_Score,Critic_Count,Developer,User_Score,User_Count
Style Savvy,DS,Simulation,2008.0,Nintendo,62,96,73.0,4.0,syn Sophia,7.7,7.0
Exit DS,DS,Puzzle,2008.0,Square Enix,9,1,64.0,25.0,Moss,6.7,6.0
Kirby: Mass Attack,DS,Platform,2011.0,Nintendo,48,41,83.0,46.0,HAL Labs,8.6,55.0
True Swing Golf,DS,Sports,2005.0,Nintendo,11,4,66.0,32.0,T&E Soft,7.7,11.0
Personal Trainer: Walking,DS,Sports,2008.0,Nintendo,21,17,69.0,6.0,Nintendo,tbd,nan
Mega Man ZX,DS,Platform,2006.0,Capcom,16,10,76.0,37.0,Inti Creates,8.3,32.0
Final Fantasy IV,DS,Simulation,2007.0,Square Enix,51,62,85.0,52.0,Matrix Software,7.7,164.0
Lufia: Curse of the Sinistrals,DS,Role-Playing,2010.0,Square Enix,11,3,80.0,8.0,Neverland,8,13.0
Donkey Kong Jungle Climber,DS,Platform,2007.0,Nintendo,25,24,nan,nan,nan,nan,nan
Pokémon Platinum Version,DS,Role-Playing,2008.0,Nintendo,276,269,83.0,46.0,Game Freak,8.5,203.0
Mario Party DS,DS,Misc,2007.0,Nintendo,440,198,72.0,27.0,Hudson Soft,7.8,85.0
Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,2006.0,Nintendo,638,604,nan,nan,nan,nan,nan
Pokemon Black/Pokemon White,DS,Role-Playing,2010.0,Nintendo,551,565,nan,nan,nan,nan,nan
Cars 2,DS,Racing,2011.0,Disney Interactive Studios,68,4,nan,nan,nan,nan,nan
Etrian Odyssey III: The Drowned City,DS,Role-Playing,2010.0,Atlus,12,19,77.0,23.0,Atlus,8,21.0
Phoenix Wright: Ace Attorney - Justice for All,DS,Adventure,2006.0,Capcom,21,26,nan,nan,nan,nan,nan
Shin Megami Tensei: Strange Journey,DS,Role-Playing,2009.0,Atlus,13,14,80.0,26.0,Atlus,8.7,69.0
Pokemon Conquest,DS,Role-Playing,2012.0,Nintendo,56,37,80.0,40.0,Koei,8.2,89.0
Ghost Trick: Phantom Detective,DS,Adventure,2010.0,Capcom,17,12,83.0,60.0,Capcom,9,127.0
Dragon Ball Z: Supersonic Warriors 2,DS,Fighting,2005.0,Atari,13,32,66.0,13.0,Arc System Works,7.6,28.0
Glory of Heracles,DS,Role-Playing,2008.0,Nintendo,19,8,69.0,23.0,Paon Corporation,7.3,18.0
Disney Stitch Jam,DS,Misc,2009.0,Disney Interactive Studios,7,16,nan,nan,Cattle Call,tbd,nan
Disney Fairies: Tinker Bell and the Lost Treasure,DS,Adventure,2009.0,Disney Interactive Studios,56,2,nan,nan,Hyde,tbd,nan
Shin Megami Tensei: Devil Survivor,DS,Role-Playing,2009.0,Atlus,13,12,84.0,28.0,Atlus,8.8,79.0
Atelier Annie: Alchemists of Sera Island,DS,Role-Playing,2009.0,Gust,8,3,70.0,11.0,Gust,6.7,15.0
Monster Rancher DS,DS,Role-Playing,2008.0,Tecmo Koei,8,5,58.0,4.0,Cing,tbd,nan
Feel the Magic XY/XX,DS,Puzzle,2004.0,Sega,17,10,75.0,55.0,Sonic Team,8.1,18.0
Kirby Squeak Squad,DS,Platform,2006.0,Nintendo,78,105,71.0,29.0,"Flagship, HAL Labs",8.1,41.0
Gardening Mama,DS,Puzzle,2009.0,505 Games,79,1,60.0,17.0,Taito Corporation,9.3,4.0
Polarium,DS,Puzzle,2004.0,Nintendo,13,11,73.0,34.0,Mitchell,8.4,17.0
Mega Man Star Force 3: Black Ace / Red Joker,DS,Action,2008.0,Capcom,22,22,nan,nan,nan,nan,nan
Viewtiful Joe: Double Trouble!,DS,Action,2005.0,Capcom,8,1,nan,nan,nan,nan,nan
Monster Racers,DS,Racing,2009.0,Tecmo Koei,5,2,70.0,5.0,Koei,9,5.0
Nostalgia,DS,Role-Playing,2008.0,Tecmo Koei,16,2,72.0,36.0,Matrix Software,7.6,19.0
Final Fantasy III,DS,Role-Playing,2006.0,Square Enix,89,107,77.0,45.0,Matrix Software,7.1,136.0
Star Fox Command,DS,Shooter,2006.0,Nintendo,38,10,76.0,56.0,Q-Games,7.3,56.0
WarioWare Touched!,DS,Puzzle,2004.0,Nintendo,51,121,nan,nan,nan,nan,nan
Touch Detective 2 1/2,DS,Adventure,2007.0,505 Games,9,1,67.0,13.0,BeeWorks,tbd,nan
Naruto Shippuden: Ninja Council 4,DS,Action,2007.0,Nintendo,8,13,49.0,10.0,"Aspect, Takara Tomy",tbd,nan
Pirates of the Caribbean: At World's End,DS,Action,2007.0,Disney Interactive Studios,30,1,66.0,14.0,Amaze Entertainment,tbd,nan
Mega Man ZX Advent,DS,Platform,2007.0,Capcom,22,9,78.0,27.0,Inti Creates,8.6,32.0
Kingdom Hearts 358/2 Days,DS,Role-Playing,2009.0,Square Enix,106,53,75.0,53.0,h.a.n.d. Inc.,7.8,162.0
Pokemon Mystery Dungeon: Explorers of Sky,DS,Role-Playing,2009.0,Nintendo,56,44,54.0,26.0,ChunSoft,9,133.0
Clubhouse Games,DS,Misc,2006.0,Nintendo,59,73,83.0,30.0,Agenda,8.4,28.0
River City Super Sports Challenge,DS,Sports,2010.0,Arc System Works,1,2,nan,nan,Million,tbd,nan
Phoenix Wright: Ace Attorney,DS,Adventure,2005.0,Capcom,44,39,81.0,53.0,Capcom,9.2,203.0
Animal Crossing: Wild World,DS,Simulation,2005.0,Nintendo,250,533,86.0,57.0,Nintendo,8.7,242.0
Scribblenauts,DS,Puzzle,2009.0,Warner Bros. Interactive Entertainment,167,2,79.0,72.0,5TH Cell,7.6,110.0
Dragon Quest Monsters: Joker,DS,Role-Playing,2006.0,Square Enix,23,149,75.0,30.0,TOSE,7.4,27.0
Animal Crossing: Happy Home Designer,3DS,Simulation,2015.0,Nintendo,51,140,66.0,60.0,Nintendo,6.9,106.0
Mega Man Legacy Collection,3DS,Platform,2016.0,Capcom,14,5,77.0,27.0,Digital Eclipse,7.1,26.0
Disney Art Academy,3DS,Action,2016.0,Nintendo,2,8,72.0,16.0,Headstrong Games,6.8,5.0
Sonic Lost World,3DS,Platform,2013.0,Sega,24,7,59.0,34.0,Dimps Corporation,6.5,144.0
Shin Megami Tensei IV,3DS,Role-Playing,2013.0,Atlus,28,27,83.0,48.0,Atlus,8.3,251.0
Style Savvy: Trendsetters,3DS,Simulation,2012.0,Nintendo,16,53,76.0,5.0,syn Sophia,8,15.0
Persona Q: Shadow of the Labyrinth,3DS,Role-Playing,2014.0,Nippon Ichi Software,34,27,83.0,56.0,Atlus,8.1,169.0
The Legend of Zelda: Majora's Mask 3D,3DS,Action,2015.0,Nintendo,114,47,89.0,82.0,GREZZO,9,478.0
Rhythm Thief & the Emperor's Treasure,3DS,Misc,2012.0,Sega,7,12,nan,nan,nan,nan,nan
Donkey Kong Country Returns,3DS,Platform,2013.0,Nintendo,74,41,nan,nan,nan,nan,nan
Final Fantasy Explorers,3DS,Role-Playing,2014.0,Square Enix,16,28,69.0,57.0,Racjin,7,87.0
LEGO Ninjago: Shadow of Ronin,3DS,Action,2015.0,Warner Bros. Interactive Entertainment,5,4,nan,nan,TT Fusion,tbd,nan
Kirby: Triple Deluxe,3DS,Platform,2014.0,Nintendo,61,79,80.0,68.0,HAL Labs,8.8,206.0
Pokemon Mystery Dungeon: Gates to Infinity,3DS,Role-Playing,2012.0,Nintendo,44,47,59.0,46.0,"Nintendo, Spike Chunsoft",6.3,134.0
Cave Story 3D,3DS,Platform,2011.0,Nippon Ichi Software,9,1,82.0,29.0,Nicalis,7.7,72.0
Hyrule Warriors,3DS,Action,2016.0,Nintendo,17,11,nan,nan,nan,nan,nan
Art Academy: Lessons for Everyone,3DS,Action,2012.0,Nintendo,20,21,81.0,14.0,"Nintendo, Headstrong Games",7.6,22.0
Animal Crossing: New Leaf,3DS,Simulation,2012.0,Nintendo,202,438,88.0,70.0,Nintendo,8.7,626.0
Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,2012.0,Sega,18,27,nan,nan,nan,nan,nan
Etrian Odyssey Untold: The Millennium Girl,3DS,Role-Playing,2013.0,Atlus,10,14,80.0,41.0,Atlus,8.2,89.0
Monster Hunter Tri,3DS,Role-Playing,2011.0,Nintendo,46,196,nan,nan,nan,nan,nan
Shovel Knight,3DS,Platform,2015.0,Yacht Club Games,8,2,90.0,9.0,Yacht Club Games,8.2,225.0
Super Smash Bros. for Wii U and 3DS,3DS,Fighting,2014.0,Nintendo,327,243,nan,nan,nan,nan,nan
LEGO City Undercover,3DS,Platform,2013.0,Nintendo,52,7,nan,nan,nan,nan,nan
The LEGO Movie Videogame,3DS,Action,2014.0,Warner Bros. Interactive Entertainment,28,5,nan,nan,TT Games,5.4,13.0
Reel Fishing Paradise 3D,3DS,Sports,2011.0,Marvelous Interactive,12,6,57.0,5.0,Natsume,tbd,nan
Pokemon Rumble Blast,3DS,Action,2011.0,Nintendo,47,35,56.0,36.0,Ambrella,7.1,50.0
Disney Magic World 2,3DS,Action,2015.0,Nintendo,2,19,nan,nan,nan,nan,nan
Chibi-Robo! Zip Lash,3DS,Platform,2015.0,Nintendo,9,6,nan,nan,nan,nan,nan
Resident Evil: The Mercenaries 3D,3DS,Action,2011.0,Capcom,16,13,65.0,69.0,Capcom,6.4,110.0
Monster Hunter X,3DS,Action,2015.0,Capcom,27,279,nan,nan,nan,nan,nan
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,Puzzle,2015.0,Nintendo,6,34,nan,nan,nan,nan,nan
Paper Mario: Sticker Star,3DS,Role-Playing,2012.0,Nintendo,112,64,75.0,69.0,Intelligent Systems,5.6,382.0
Resident Evil: Revelations,3DS,Action,2012.0,Capcom,30,30,82.0,78.0,Capcom,8.5,397.0
Theatrhythm Final Fantasy: Curtain Call,3DS,Misc,2014.0,Square Enix,13,15,83.0,52.0,Indies Zero,8.2,66.0
Bravely Second: End Layer,3DS,Role-Playing,2015.0,Nintendo,17,18,81.0,70.0,Silicon Studio,7.4,103.0
Mario & Sonic at the Rio 2016 Olympic Games,3DS,Action,2016.0,Nintendo,5,25,nan,nan,nan,nan,nan
Super Mario 3D Land,3DS,Platform,2011.0,Nintendo,488,214,90.0,82.0,Nintendo,8.4,921.0
Theatrhythm: Final Fantasy,3DS,Misc,2012.0,Square Enix,22,18,78.0,60.0,Indies Zero,7.8,113.0
Epic Mickey: Power of Illusion,3DS,Action,2012.0,Disney Interactive Studios,36,4,nan,nan,nan,nan,nan
Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,Role-Playing,2012.0,Atlus,13,14,nan,nan,nan,nan,nan
Code Name: S.T.E.A.M.,3DS,Strategy,2015.0,Nintendo,14,1,69.0,69.0,Intelligent Systems,7.7,125.0
Professor Layton and the Mask of Miracle,3DS,Puzzle,2011.0,Nintendo,32,36,nan,nan,nan,nan,nan
Mario & Luigi: Dream Team,3DS,Role-Playing,2013.0,Nintendo,89,46,nan,nan,nan,nan,nan
Mario Kart 7,3DS,Racing,2011.0,Nintendo,503,269,85.0,73.0,"Retro Studios, Entertainment Analysis & Development Division",8.2,632.0
 Fire Emblem Fates,3DS,Role-Playing,2015.0,Nintendo,81,52,nan,nan,nan,nan,nan
Kid Icarus: Uprising,3DS,Action,2012.0,Nintendo,48,36,83.0,75.0,"Opus, Project Sora",8.7,487.0
Star Fox 64 3D,3DS,Shooter,2011.0,Nintendo,48,13,81.0,65.0,Nintendo,8.2,231.0
The Legend of Zelda: Tri Force Heroes,3DS,Action,2015.0,Nintendo,53,17,73.0,73.0,Nintendo,7.6,179.0
Etrian Mystery Dungeon,3DS,Role-Playing,2015.0,Nippon Ichi Software,9,13,77.0,44.0,Spike Chunsoft,7.9,49.0
Mario Party: Star Rush,3DS,Misc,2016.0,Nintendo,8,8,68.0,37.0,"Nintendo, Nd Cube",6.8,16.0
Hatsune Miku: Project Mirai DX,3DS,Misc,2015.0,Sega,16,10,80.0,32.0,Sega,8.5,71.0
Langrisser: Re:Incarnation Tensei,3DS,Role-Playing,2015.0,Extreme Entertainment Group,2,1,nan,nan,nan,nan,nan
Mario Tennis Open,3DS,Sports,2012.0,Nintendo,26,34,69.0,58.0,Camelot Software Planning,6.9,110.0
LEGO Jurassic World,3DS,Action,2015.0,Warner Bros. Interactive Entertainment,31,3,nan,nan,TT Games,7.2,11.0
New Super Mario Bros. 2,3DS,Platform,2012.0,Nintendo,366,247,78.0,70.0,Nintendo,7.2,424.0
Code of Princess,3DS,Action,2012.0,Agatsuma Entertainment,16,3,67.0,38.0,Studio Saizensen,7.6,73.0
Lego Star Wars: The Force Awakens,3DS,Action,2016.0,Warner Bros. Interactive Entertainment,4,1,nan,nan,TT Games,7.8,9.0
Spirit Camera: The Cursed Memoir,3DS,Adventure,2012.0,Nintendo,13,6,54.0,35.0,Tecmo Koei Games,6.1,28.0
Bravely Default: Flying Fairy,3DS,Role-Playing,2012.0,Nintendo,50,49,nan,nan,nan,nan,nan
Luigi's Mansion: Dark Moon,3DS,Action,2013.0,Nintendo,180,111,86.0,74.0,Next Level Games,8.4,458.0
Fire Emblem: Awakening,3DS,Role-Playing,2012.0,Nintendo,90,54,92.0,72.0,Intelligent Systems,9.1,1130.0
Sonic Generations,3DS,Platform,2011.0,Sega,44,1,66.0,29.0,"Sega, Dimps Corporation",6.9,108.0
Mario Party: Island Tour,3DS,Misc,2013.0,Nintendo,62,55,57.0,47.0,"Nintendo, Nd Cube",6.3,117.0
Mario & Luigi: Paper Jam,3DS,Role-Playing,2015.0,Nintendo,16,26,nan,nan,nan,nan,nan
Nintendogs + cats,3DS,Simulation,2011.0,Nintendo,144,73,nan,nan,nan,nan,nan
Tekken 3D: Prime Edition,3DS,Fighting,2012.0,Nintendo,6,5,64.0,42.0,Arika,5.9,39.0
Fantasy Life,3DS,Role-Playing,2012.0,Nintendo,33,37,73.0,51.0,"Level 5, Brownie Brown",8.6,209.0
Yokai Watch,3DS,Role-Playing,2013.0,Nintendo,25,133,nan,nan,nan,nan,nan
Stella Glow,3DS,Role-Playing,2015.0,Atlus,16,5,79.0,32.0,"Image Epoch, Imageepoch",8.7,82.0
LEGO Marvel Super Heroes,3DS,Action,2013.0,Warner Bros. Interactive Entertainment,42,4,61.0,4.0,TT Games,5.2,11.0
Super Monkey Ball 3D,3DS,Action,2011.0,Sega,26,5,55.0,57.0,Sega,5.5,31.0
Mario Golf: World Tour,3DS,Sports,2014.0,Nintendo,15,17,78.0,73.0,Camelot Software Planning,8.2,76.0
Tomodachi Life,3DS,Simulation,2013.0,Nintendo,97,190,nan,nan,nan,nan,nan
Yokai Watch 2 Ganso/Honke,3DS,Role-Playing,2014.0,Nintendo,9,318,nan,nan,nan,nan,nan
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,2014.0,Nintendo,434,310,nan,nan,nan,nan,nan
The Legend of Zelda: A Link Between Worlds,3DS,Action,2013.0,Nintendo,140,46,91.0,81.0,Nintendo,8.9,1057.0
LEGO Marvel's Avengers,3DS,Action,2016.0,Warner Bros. Interactive Entertainment,7,1,60.0,4.0,TT Games,7.1,15.0
Kingdom Hearts 3D: Dream Drop Distance,3DS,Action,2012.0,Square Enix,88,34,75.0,54.0,Square Enix,8.2,267.0
Pokemon X/Pokemon Y,3DS,Role-Playing,2013.0,Nintendo,528,434,nan,nan,nan,nan,nan
Monster Hunter 4 Ultimate,3DS,Role-Playing,2014.0,Nintendo,68,262,86.0,80.0,Capcom,8.7,348.0
Super Street Fighter IV: 3D Edition,3DS,Fighting,2011.0,Capcom,55,14,85.0,69.0,Capcom,8.1,206.0
Pokemon Super Mystery Dungeon,3DS,Role-Playing,2015.0,Nintendo,48,34,69.0,44.0,"Spike Chunsoft Co. Ltd., Spike Chunsoft",8.8,190.0
Yoshi's New Island,3DS,Platform,2014.0,Nintendo,48,28,64.0,71.0,Arzest,6.1,155.0
Etrian Odyssey IV: Legends of the Titans,3DS,Role-Playing,2012.0,Atlus,12,20,nan,nan,nan,nan,nan
Fossil Fighters: Frontier,3DS,Role-Playing,2014.0,Nintendo,8,23,57.0,25.0,"RED Entertainment, Spike Chunsoft",4.8,19.0
Samurai Warriors 3,Wii,Action,2009.0,Nintendo,9,32,55.0,26.0,Omega Force,7.2,22.0
Mario Party 8,Wii,Misc,2007.0,Nintendo,374,158,62.0,41.0,Hudson,6.3,190.0
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,Role-Playing,2007.0,Square Enix,18,50,65.0,43.0,"Eighting, Genius Sonority Inc.",5.9,21.0
Resident Evil Archives: Resident Evil,Wii,Action,2008.0,Capcom,16,8,76.0,11.0,Capcom,8.9,41.0
Samurai Warriors: Katana,Wii,Action,2007.0,Tecmo Koei,11,4,53.0,30.0,"Koei, Omega Force",6.8,6.0
The House of the Dead 2 & 3 Return,Wii,Shooter,2008.0,Sega,77,3,nan,nan,nan,nan,nan
Wii Fit Plus,Wii,Sports,2009.0,Nintendo,901,252,80.0,33.0,Nintendo,7.4,52.0
Tetris Party Deluxe,Wii,Puzzle,2010.0,Nintendo,33,2,72.0,19.0,"Tetris Online, Inc",5.8,4.0
New Play Control! Pikmin,Wii,Strategy,2008.0,Nintendo,28,19,nan,nan,nan,nan,nan
Kirby's Epic Yarn,Wii,Platform,2010.0,Nintendo,142,45,nan,nan,nan,nan,nan
Mario Kart Wii,Wii,Racing,2008.0,Nintendo,1568,379,82.0,73.0,Nintendo,8.3,709.0
Super Paper Mario,Wii,Platform,2007.0,Nintendo,195,59,85.0,56.0,Intelligent Systems,7.9,417.0
The House of the Dead: Overkill,Wii,Shooter,2009.0,Sega,44,2,78.0,65.0,Headstrong Games,8.7,95.0
Sin and Punishment: Star Successor,Wii,Shooter,2009.0,Nintendo,19,6,nan,nan,nan,nan,nan
MadWorld,Wii,Action,2009.0,Sega,45,2,81.0,74.0,PlatinumGames,8.6,176.0
The Legend of Zelda: Skyward Sword,Wii,Action,2011.0,Nintendo,202,37,93.0,81.0,Nintendo,8,1958.0
WarioWare: Smooth Moves,Wii,Puzzle,2006.0,Nintendo,86,73,83.0,61.0,Intelligent Systems,7.4,179.0
Pokemon Battle Revolution,Wii,Role-Playing,2006.0,Nintendo,78,30,53.0,34.0,Genius Sonority Inc.,6.7,106.0
Champion Jockey: G1 Jockey & Gallop Racer,Wii,Sports,2011.0,Tecmo Koei,4,1,nan,nan,nan,nan,nan
Mario Strikers Charged,Wii,Sports,2007.0,Nintendo,105,24,79.0,47.0,Next Level Games,8,124.0
Sonic Riders: Zero Gravity,Wii,Racing,2008.0,Sega,48,2,56.0,26.0,Sonic Team,8.1,57.0
Monster Hunter Tri,Wii,Role-Playing,2009.0,Nintendo,65,105,84.0,70.0,Capcom,8.6,219.0
Final Fantasy Fables: Chocobo's Dungeon,Wii,Role-Playing,2007.0,Square Enix,9,11,76.0,34.0,h.a.n.d. Inc.,8,20.0
Sengoku Basara: Samurai Heroes,Wii,Action,2010.0,Capcom,6,20,65.0,18.0,Capcom,8.8,13.0
Wii Sports Resort,Wii,Sports,2009.0,Nintendo,1561,328,80.0,73.0,Nintendo,8,192.0
Cooking Mama: Cook Off,Wii,Simulation,2007.0,505 Games,141,5,61.0,37.0,OfficeCreate,5.3,23.0
Phantom Brave: We Meet Again,Wii,Role-Playing,2009.0,Nippon Ichi Software,12,1,76.0,12.0,Nippon Ichi Software,7.1,15.0
Resident Evil: The Darkside Chronicles,Wii,Action,2009.0,Capcom,46,20,75.0,55.0,Cavia Inc.,8,60.0
Zack & Wiki: Quest for Barbaros' Treasure,Wii,Adventure,2007.0,Nintendo,18,3,nan,nan,nan,nan,nan
Animal Crossing: City Folk,Wii,Simulation,2008.0,Nintendo,182,132,73.0,50.0,Nintendo,7.6,119.0
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,Fighting,2010.0,Capcom,30,3,85.0,62.0,Eighting,8.8,85.0
Wii Sports,Wii,Sports,2006.0,Nintendo,4136,377,76.0,51.0,Nintendo,8,322.0
Wii Music,Wii,Misc,2008.0,Nintendo,135,46,63.0,43.0,Nintendo,4.6,116.0
FlingSmash,Wii,Action,2010.0,Nintendo,37,7,48.0,26.0,Artoon,6.8,13.0
Naruto Shippuden: Dragon Blade Chronicles,Wii,Action,2009.0,505 Games,11,5,38.0,14.0,"Eighting, Takara Tomy",3,12.0
Endless Ocean,Wii,Adventure,2007.0,Nintendo,43,9,72.0,42.0,Arika,8.1,61.0
Excite Truck,Wii,Racing,2006.0,Nintendo,39,8,72.0,57.0,Monster Games Inc.,8.4,83.0
We Love Golf!,Wii,Sports,2007.0,Capcom,19,3,nan,nan,nan,nan,nan
Trauma Center: Second Opinion,Wii,Simulation,2006.0,Nintendo,28,3,80.0,49.0,Atlus,8,47.0
Active Life: Outdoor Challenge,Wii,Sports,2008.0,Atari,78,19,69.0,6.0,h.a.n.d. Inc.,8.1,14.0
Super Mario All-Stars: Limited Edition,Wii,Platform,2010.0,Nintendo,99,92,nan,nan,nan,nan,nan
Mario Super Sluggers,Wii,Sports,2008.0,Nintendo,148,28,69.0,31.0,Namco Bandai Games,7.8,58.0
Resident Evil 4,Wii,Action,2007.0,Capcom,132,14,nan,nan,nan,nan,nan
Sonic and the Black Knight,Wii,Platform,2009.0,Sega,64,1,54.0,51.0,Sonic Team,6.9,198.0
Big Brain Academy: Wii Degree,Wii,Misc,2007.0,Nintendo,105,41,68.0,33.0,Nintendo,6.9,39.0
